id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct
A000374,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000374.json,Ralph,,Abraham,,9/16/54,M,R,,RepAbraham,CongressmanRalphAbraham,,412630,76236,155414,21522,N00036633,/m/012dwd7_,H4LA05221,https://abraham.house.gov,https://abraham.house.gov/rss.xml,,TRUE,R+15,0.541,,6,2020,883,312,0,9/9/20 16:30,ocd-division/country:us/state:la/cd:5,417 Cannon House Office Building,202-225-8490,,LA,5,FALSE,2205,35.33,94.88,4.95
A000370,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000370.json,Alma,,Adams,,5/27/46,F,D,,RepAdams,CongresswomanAdams,,412607,76386,5935,21545,N00035451,/m/02b45d,H4NC12100,https://adams.house.gov,https://adams.house.gov/rss.xml,,TRUE,D+18,-0.465,,8,2020,883,26,0,9/9/20 16:30,ocd-division/country:us/state:nc/cd:12,2436 Rayburn House Office Building,202-225-1510,,NC,12,FALSE,3712,2.94,99.18,0.7
A000055,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000055.json,Robert,B.,Aderholt,,7/22/65,M,R,,Robert_Aderholt,RobertAderholt,RobertAderholt,400004,45516,441,29701,N00003028,/m/024p03,H6AL04098,https://aderholt.house.gov,https://aderholt.house.gov/rss.xml,,TRUE,R+30,0.368,,24,2020,883,43,0,9/9/20 16:30,ocd-division/country:us/state:al/cd:4,1203 Longworth House Office Building,202-225-4876,,AL,4,FALSE,0104,4.87,93.52,6.36
A000371,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000371.json,Pete,,Aguilar,,6/19/79,M,D,,reppeteaguilar,reppeteaguilar,,412615,79994,70114,21506,N00033997,/m/0jwv0xf,H2CA31125,https://aguilar.house.gov,https://aguilar.house.gov/rss.xml,,TRUE,D+8,-0.291,,6,2020,883,8,0,9/9/20 16:30,ocd-division/country:us/state:ca/cd:31,109 Cannon House Office Building,202-225-3201,,CA,31,FALSE,0631,0.91,97.25,2.63
A000372,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000372.json,Rick,,Allen,,11/7/51,M,R,,reprickallen,CongressmanRickAllen,,412625,62545,136062,21516,N00033720,/m/0127y9dk,H2GA12121,https://allen.house.gov,,,TRUE,R+9,0.678,,6,2020,883,2,0,9/9/20 16:30,ocd-division/country:us/state:ga/cd:12,2400 Rayburn House Office Building,202-225-2823,,GA,12,FALSE,1312,0.23,92.33,7.56
A000376,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000376.json,Colin,,Allred,,4/15/83,M,D,,RepColinAllred,,,412828,,177357,,N00040989,/m/03d066b,H8TX32098,https://allred.house.gov,,,TRUE,R+5,,,2,2020,883,29,0,9/9/20 16:30,ocd-division/country:us/state:tx/cd:32,328 Cannon House Office Building,202-225-2231,,TX,32,FALSE,4832,3.28,97.54,2.35
A000367,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000367.json,Justin,,Amash,,4/18/80,M,R,,,repjustinamash,repjustinamash,412438,1033767,105566,21143,N00031938,/m/0c00p_n,H0MI03126,https://amash.house.gov,https://amash.house.gov/rss.xml,,FALSE,,0.654,,10,2020,430,0,5,8/22/20 19:48,ocd-division/country:us/state:mi/cd:3,106 Cannon House Office Building,202-225-3831,,MI,3,FALSE,2603,0,61.97,37.79
A000367,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000367.json,Justin,,Amash,,4/18/80,M,I,,,repjustinamash,repjustinamash,412438,1033767,105566,21143,N00031938,/m/0c00p_n,,https://amash.house.gov,https://amash.house.gov/rss.xml,,TRUE,R+6,,,10,2020,453,0,6,9/9/20 16:30,ocd-division/country:us/state:mi/cd:3,,,,MI,3,FALSE,2603,0,58.8,41.2
A000369,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000369.json,Mark,,Amodei,,6/12/58,M,R,,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,412500,62817,12537,21196,N00031177,/m/03bzdkn,H2NV02395,https://amodei.house.gov,https://amodei.house.gov/rss/news-releases.xml,,TRUE,R+7,0.384,,10,2020,883,26,0,9/9/20 16:30,ocd-division/country:us/state:nv/cd:2,104 Cannon House Office Building,202-225-6155,,NV,2,FALSE,3202,2.94,92.23,7.66
A000377,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000377.json,Kelly,,Armstrong,,10/8/76,M,R,,RepArmstrongND,,,412794,,139338,,N00042868,/g/11hcszksh3,H8ND00096,https://armstrong.house.gov,,,TRUE,R+16,,,2,2020,883,32,0,9/9/20 16:30,ocd-division/country:us/state:nd/cd:1,1004 Longworth House Office Building,202-225-2611,,ND,At-Large,TRUE,3800,3.62,93.24,6.64
